# Glossary in tab-separated format -*- coding: utf-8 -*-
AFatherToHisMen	Br/UmPaiParaSeusHomens
AFoolAndHisNewMoneyAreSoonParted	Br/UmToloESeuDinheiroLogoSeSeparam
AFormYouAreComfortableWith	Br/UmaFormaQueLheEConfortavel
AFriendInNeed	Br/AmigoEstouAqui
AGodIAm	Br/SouUmDeus
AGodIAmNot	Br/NaoSouUmDeus
AGodIsYou	Br/VoceEUmDeus
AHeroIsBorn	Br/UmHeroiNasce
AHeroToHisHometown	Br/UmHeroiEmSuaCidadeNatal
ALighterShadeOfGrey	Br/UmTomMaisClaroDeCinza
ALongTimeAgoInAGalaxyFarFarAway	Br/HaMuitoTempoAtrasEmUmaGalaxiaMuitoDistante
AMillionIsAStatistic	Br/UmMilhaoEUmaEstatistica
AMountainOfTropes	Br/UmaMontanhaDeTropos
ANaziByAnyOtherName	Br/UmNazistaComQualquerOutroNome
APoliteIndex	Br/UmIndiceCortes
AProtagonistShallLeadThem	Br/UmProtagonistaHaDeOsLiderar
ATrueHero	Br/UmVerdadeiroHeroi
AWinnerIsYou	Br/UmVencedorEVoce
AWorldHalfFull	Br/MundoMeioCheio
AbandonedArea	Br/LugarAbandonado
AbandonedHospital	Br/HospitalAbandonado
AboveGoodAndEvil	Br/AcimaDoBemEDoMal
AbsurdlySpaciousSewer	Br/EsgotoAbsurdamenteEspacoso
AbusiveParents	Br/PaisAbusivos
AcademyOfAdventure	Br/EscolaDeAventuras
AccidentalHero	Br/HeroiAcidental
AccidentalIncantation	Br/EncantamentoAcidental
AchillesHeel	Br/CalcanharDeAquiles
ActionDad	Br/PaiDeAcao
ActionDuo	Br/DuplaDeAcao
ActionGenreHeroGuy	Br/CaraHeroicoDoGeneroDeAcao
ActionGirl	Br/GarotaDeAcao
ActionHero	Br/HeroiDeAcao
ActionMom	Br/MaeDeAcao
ActionPet	Br/BichinhoDeAcao
ActionSeries	Br/SeriesDeAcao
ActionSurvivor	Br/SobreviventeDeAcao
ActionizedSequel	Br/SequenciaComMaisAcao
